Product,Type,Release Date,Process Size,TDP,Die Size,Transistors,Freq,Vendor
AMD FX-8320,CPU,10/23/12,32,125,315,1200,3500,AMD
AMD Opteron 6386 SE,CPU,11/5/12,32,140,315,2400,2800,AMD
AMD Opteron X2 875,CPU,9/26/05,90,95,,233,2200,AMD
Intel Celeron 877,CPU,7/1/12,32,17,131,504,1400,Intel
AMD Phenom II X6 1100T BE,CPU,12/7/10,45,125,346,904,3300,AMD
Intel Core i3-4130,CPU,9/1/13,22,54,177,1400,3400,Intel
Intel Core i7-3910K,CPU,7/24/13,32,130,435,2270,3000,Intel
Intel Core i7-3632QM,CPU,10/19/12,22,35,160,1480,2200,Intel
AMD Opteron 144,CPU,8/2/05,90,67,,106,1800,AMD
Intel Pentium 4 HT 515,CPU,1/1/01,90,84,109,125,2933,Intel
AMD Opteron 242,CPU,5/18/04,130,82,193,106,1600,AMD
Intel Xeon 2.8,CPU,10/10/05,90,135,213,200,2800,Intel
Intel Core 2 Duo E7600,CPU,5/10/09,45,65,82,228,3067,Intel
AMD Phenom II X4 910,CPU,2/9/09,45,95,258,758,2600,AMD
AMD Sempron 2500+,CPU,7/28/04,130,62,80,37,1750,AMD
Intel Pentium G3450,CPU,5/1/14,22,54,177,1400,3300,Intel
AMD EPYC 7601,CPU,6/29/17,14,180,213,4800,2200,AMD
Intel Xeon E7-8860 v3,CPU,6/1/15,22,140,160,1400,2200,Intel
AMD Phenom X4 9850 BE,CPU,3/27/08,65,125,285,450,2500,AMD
AMD Ryzen 3 3100,CPU,4/24/20,7,65,74,3800,3600,AMD
Intel Core i7-4940MX,CPU,1/20/14,22,57,177,1400,3100,Intel
Intel Core 2 Quad Q6600 (105W),CPU,1/7/07,65,105,143,582,2400,Intel
AMD Athlon 64 FX-62,CPU,5/23/06,90,125,220,243,2800,AMD
AMD Athlon X2 7750 BE,CPU,12/15/08,65,95,285,450,2700,AMD
Intel Core i7-3740QM,CPU,9/3/12,22,45,160,1400,2700,Intel
Intel Core i3-4150T,CPU,5/1/14,22,35,177,1400,2900,Intel
Intel Atom N570,CPU,3/1/11,45,9,87,176,1667,Intel
Intel Core 2 Duo T7300,CPU,7/27/06,65,35,143,293,2000,Intel
Intel Atom E645C,CPU,11/22/10,45,4,26,47,1000,Intel
Intel Core i7-5820K,CPU,9/1/14,22,140,356,2600,3300,Intel
Intel Celeron E3400,CPU,1/17/10,45,65,82,228,2600,Intel
AMD FX-6120,CPU,10/23/12,32,95,315,1200,3600,AMD
Intel Pentium G632,CPU,9/4/11,32,65,131,504,2700,Intel
Intel Pentium 4 HT 531,CPU,6/12/05,90,84,109,125,3000,Intel
AMD Opteron 248 HE,CPU,3/1/05,90,55,,106,2200,AMD
AMD Opteron X2 290,CPU,1/1/06,90,95,,233,2800,AMD
Intel Pentium 4 HT 3.20,CPU,6/23/03,130,82,131,55,3200,Intel
AMD Athlon II X4 610e,CPU,5/11/10,45,45,169,300,2400,AMD
AMD Sempron 2800+,CPU,5/23/06,90,62,103,81,1600,AMD
AMD FX-9590,CPU,7/6/13,32,220,315,1200,4700,AMD
Intel Pentium 4 2.0,CPU,1/7/02,130,92,146,125,2000,Intel
AMD Phenom II X6 1055T (95W),CPU,5/1/10,45,95,346,904,2800,AMD
